item_id,order_id,order_number,created_at_x,order_total,total_qty_ordered,customer_id,customer_name,customer_gender,customer_email,product_id,product_sku,product_name,price,line_total,qty_ordered,load_date
188,84.0,A1207000094216,2016-12-07 13:42:420,3350.0,1.0,4.0,JeramyMaurois,Female,dvdotnet@outlook.com,62534,210761173,210761175,3320.0,3320.0,1,2023-02-23 23:09:34.759965
189,84.0,A1207000094216,2016-12-07 13:42:420,3350.0,1.0,4.0,JeramyMaurois,Female,dvdotnet@outlook.com,53968,210761173,210761175,0.0,0.0,1,2023-02-23 23:09:34.759965
588,323.0,BOU128713,2016-12-13 14:32:320,2125.0,1.0,4.0,JeramyMaurois,Female,dvdotnet@outlook.com,62691,210806546,Point-toe Brown Pump,2100.0,2100.0,1,2023-02-23 23:09:34.759965
589,323.0,BOU128713,2016-12-13 14:32:320,2125.0,1.0,4.0,JeramyMaurois,Female,dvdotnet@outlook.com,56393,210806546,Point-toe Brown Pump,0.0,0.0,1,2023-02-23 23:09:34.759965
645,353.0,BOU1214713,2016-12-13 16:59:590,8225.0,4.0,4.0,JeramyMaurois,Female,dvdotnet@outlook.com,62220,210277381,Black Falabella Chamois Crossbody Bag,2300.0,6900.0,3,2023-02-23 23:09:34.759965
646,353.0,BOU1214713,2016-12-13 16:59:590,8225.0,4.0,4.0,JeramyMaurois,Female,dvdotnet@outlook.com,53187,210277381,Black Falabella Chamois Crossbody Bag,0.0,0.0,3,2023-02-23 23:09:34.759965
647,353.0,BOU1214713,2016-12-13 16:59:590,8225.0,4.0,4.0,JeramyMaurois,Female,dvdotnet@outlook.com,62220,210277484,Black Falabella Chamois Crossbody Bag,2300.0,2300.0,1,2023-02-23 23:09:34.759965
648,353.0,BOU1214713,2016-12-13 16:59:590,8225.0,4.0,4.0,JeramyMaurois,Female,dvdotnet@outlook.com,53188,210277484,Beige Falabella Chamois Crossbody Bag,0.0,0.0,1,2023-02-23 23:09:34.759965
2490,1364.0,BOB 311527.00,2017-03-27 17:35:350,380.0,1.0,4.0,JeramyMaurois,Female,dvdotnet@outlook.com,77633,209949579,Slub Jersey V Neck:W | 209949579,375.0,375.0,1,2023-02-23 23:09:34.759965
2492,1366.0,BOB 311927.00,2017-03-27 18:09:90,2755.0,1.0,4.0,JeramyMaurois,Female,dvdotnet@outlook.com,53090,209333492,,2750.0,2750.0,1,2023-02-23 23:09:34.759965
3094,1750.0,BOU06701,2017-06-01 11:36:360,3125.0,1.0,4.0,JeramyMaurois,Female,dvdotnet@outlook.com,133632,211533005,Pink Kira Pyramid Sequin Sandals,3100.0,3100.0,1,2023-02-23 23:09:34.759965
3095,1750.0,BOU06701,2017-06-01 11:36:360,3125.0,1.0,4.0,JeramyMaurois,Female,dvdotnet@outlook.com,124785,211533005,Pink Kira Pyramid Sequin Sandals,0.0,0.0,1,2023-02-23 23:09:34.759965
3108,1756.0,BOU061901,2017-06-01 14:22:220,4265.0,1.0,4.0,JeramyMaurois,Female,dvdotnet@outlook.com,106807,211500467,Light-Pink Rockstud Leather Camera Crossbody Bag,4240.0,4240.0,1,2023-02-23 23:09:34.759965
3129,1767.0,BOU06306,2017-06-06 10:10:100,1625.0,1.0,4.0,JeramyMaurois,Female,dvdotnet@outlook.com,112805,211538635,Blue Meridian Stripe Frill Top,1600.0,1600.0,1,2023-02-23 23:09:34.759965
3130,1767.0,BOU06306,2017-06-06 10:10:100,1625.0,1.0,4.0,JeramyMaurois,Female,dvdotnet@outlook.com,112409,211538635,Blue Meridian Stripe Frill Top,0.0,0.0,1,2023-02-23 23:09:34.759965
3193,1804.0,BOU06311,2017-06-11 17:53:530,210.0,1.0,4.0,JeramyMaurois,Female,dvdotnet@outlook.com,105549,204776056,"Ultra Facial Cream, 50ml",180.0,180.0,1,2023-02-23 23:09:34.759965
3204,1814.0,BOU06714,2017-06-14 10:51:510,2545.0,1.0,4.0,JeramyMaurois,Female,dvdotnet@outlook.com,125042,211492753,Silver Claudie Flamingo Cross-Body Bag,2515.0,2515.0,1,2023-02-23 23:09:34.759965
3246,1852.0,BOU06315,2017-06-15 08:12:120,2545.0,1.0,4.0,JeramyMaurois,Female,dvdotnet@outlook.com,125042,211492753,Silver Claudie Flamingo Cross-Body Bag,2515.0,2515.0,1,2023-02-23 23:09:34.759965
3247,1853.0,BOB 6515.00,2017-06-15 08:16:160,240.0,1.0,4.0,JeramyMaurois,Female,dvdotnet@outlook.com,108008,211529813,Red Patent Pumps,235.0,235.0,1,2023-02-23 23:09:34.759965
3248,1854.0,BOU06715,2017-06-15 08:18:180,455.0,1.0,4.0,JeramyMaurois,Female,dvdotnet@outlook.com,90529,210686676,Wheat Bread Plate,425.0,425.0,1,2023-02-23 23:09:34.759965
4305,2629.0,BOS0810113,2017-08-13 15:50:500,2125.0,1.0,4.0,JeramyMaurois,Female,dvdotnet@outlook.com,57700,210860485,Evangeline White Satin Sandals,2100.0,2100.0,1,2023-02-23 23:09:34.759965
8823,,,2018-03-12 15:02:20,,,,,,,179349,211676593-giftcard,Gift Card,100.0,100.0,1,2023-02-23 23:09:34.759965
786,414.0,BOU12319,2016-12-19 17:12:120,4020.0,2.0,5.0,FlorenceAlavi,Female,keutzer@me.com,62356,210763922,Black Beck Embellished Pants,1300.0,1300.0,1,2023-02-23 23:09:34.759965
787,414.0,BOU12319,2016-12-19 17:12:120,4020.0,2.0,5.0,FlorenceAlavi,Female,keutzer@me.com,54068,210763922,Black Beck Embellished Pants,0.0,0.0,1,2023-02-23 23:09:34.759965
788,414.0,BOU12319,2016-12-19 17:12:120,4020.0,2.0,5.0,FlorenceAlavi,Female,keutzer@me.com,62231,210768756,210768942,2720.0,2720.0,1,2023-02-23 23:09:34.759965
789,414.0,BOU12319,2016-12-19 17:12:120,4020.0,2.0,5.0,FlorenceAlavi,Female,keutzer@me.com,54415,210768756,210768942,0.0,0.0,1,2023-02-23 23:09:34.759965
2835,1591.0,BOU042725,2017-04-25 11:00:00,4400.0,1.0,5.0,FlorenceAlavi,Female,keutzer@me.com,66910,210974741,Printed Silk Top,4400.0,4400.0,1,2023-02-23 23:09:34.759965
2836,1591.0,BOU042725,2017-04-25 11:00:00,4400.0,1.0,5.0,FlorenceAlavi,Female,keutzer@me.com,71437,210974741,Printed Silk Top,0.0,0.0,1,2023-02-23 23:09:34.759965
385915,207937.0,BOS117307,2019-11-07 15:33:330,5850.0,1.0,5.0,FlorenceAlavi,Female,keutzer@me.com,161061601,213051054,Onia Quilted Down Jacket,5571.43,5571.43,1,2023-02-23 23:09:34.759965
241,112.0,BOU122709,2016-12-09 23:19:190,600.0,1.0,6.0,MiaGarner,Female,dsowsy@icloud.com,63320,202589634,MA Cheese Board & kn | 202589634,600.0,600.0,1,2023-02-23 23:09:34.759965
256,121.0,BOU121710,2016-12-10 11:40:400,6584.04,3.0,6.0,MiaGarner,Female,dsowsy@icloud.com,62586,210883460,Portia 120 Metallic Raffia Wedges,1854.52,1854.52,1,2023-02-23 23:09:34.759965
257,121.0,BOU121710,2016-12-10 11:40:400,6584.04,3.0,6.0,MiaGarner,Female,dsowsy@icloud.com,58534,210883460,Portia 120 Metallic Raffia Wedges,0.0,0.0,1,2023-02-23 23:09:34.759965
258,121.0,BOU121710,2016-12-10 11:40:400,6584.04,3.0,6.0,MiaGarner,Female,dsowsy@icloud.com,62586,210883554,Portia 120 Metallic Raffia Wedges,1854.52,1854.52,1,2023-02-23 23:09:34.759965
259,121.0,BOU121710,2016-12-10 11:40:400,6584.04,3.0,6.0,MiaGarner,Female,dsowsy@icloud.com,58628,210883554,Portia 120 Metallic Raffia Wedges,0.0,0.0,1,2023-02-23 23:09:34.759965
260,121.0,BOU121710,2016-12-10 11:40:400,6584.04,3.0,6.0,MiaGarner,Female,dsowsy@icloud.com,63318,209808858,FALABELLA CHAMOIS MINIBELLA:blk:One Size - 209808148,2850.0,2850.0,1,2023-02-23 23:09:34.759965
261,121.0,BOU121710,2016-12-10 11:40:400,6584.04,3.0,6.0,MiaGarner,Female,dsowsy@icloud.com,53127,209808858,209808858,0.0,0.0,1,2023-02-23 23:09:34.759965
304,147.0,,2016-12-10 15:57:570,,,,,,,64937,210968466,GG Blooms iPhone 6 Plus Case,700.0,700.0,1,2023-02-23 23:09:34.759965
305,147.0,,2016-12-10 15:57:570,,,,,,,62644,210804870,Brown Woven Booties,5900.0,5900.0,1,2023-02-23 23:09:34.759965
306,147.0,,2016-12-10 15:57:570,,,,,,,55928,210804870,Brown Woven Booties,0.0,0.0,1,2023-02-23 23:09:34.759965
11731,7726.0,BOU102107,2018-10-07 15:36:360,2401.19,1.0,6.0,MiaGarner,Female,dsowsy@icloud.com,216793,212431444,Lavender Embroidered Primrose Gown,2285.71,2285.71,1,2023-02-23 23:09:34.759965
206,93.0,A1208000105289,2016-12-08 17:41:410,2330.0,1.0,7.0,PenneyEndrenyi,Female,hllam@verizon.net,62694,210806551,210806528,2300.0,2300.0,1,2023-02-23 23:09:34.759965
207,93.0,A1208000105289,2016-12-08 17:41:410,2330.0,1.0,7.0,PenneyEndrenyi,Female,hllam@verizon.net,56398,210806551,210806611,0.0,0.0,1,2023-02-23 23:09:34.759965
386,196.0,BOU124511,2016-12-11 21:12:120,3350.0,1.0,7.0,PenneyEndrenyi,Female,hllam@verizon.net,62642,210804754,210805073,3350.0,3350.0,1,2023-02-23 23:09:34.759965
387,,,2016-12-11 21:12:120,,,,,,,55812,210804754,Tabasco Red Ankle-Tie High Heel Sandal,0.0,0.0,1,2023-02-23 23:09:34.759965
3283,1886.0,BOU06519,2017-06-19 11:55:550,1350.0,1.0,7.0,PenneyEndrenyi,Female,hllam@verizon.net,112389,211544558,Cream Tiger Printed Scarf,1350.0,1350.0,1,2023-02-23 23:09:34.759965
